Series Name,Year,Month,Value
Average Hourly Earnings - Total Private,2023,8,33.8
Average Hourly Earnings - Total Private,2023,7,33.8
Average Hourly Earnings - Total Private,2023,6,33.8
Average Hourly Earnings - Total Private,2023,5,33.8
Average Hourly Earnings - Total Private,2023,4,33.8
Average Hourly Earnings - Total Private,2023,3,33.9
Average Hourly Earnings - Total Private,2023,2,33.9
Average Hourly Earnings - Total Private,2023,1,34.0
Unemployment Rate (16+ years),2024,12,4.1
Unemployment Rate (16+ years),2024,7,4.2
Unemployment Rate (16+ years),2024,3,3.9
Total Nonfarm Employment,2024,12,159536.0
Total Nonfarm Employment,2024,11,159280.0
Total Nonfarm Employment,2024,10,159068.0
Civilian Labor Force Level,2024,12,168547.0
Civilian Labor Force Level,2024,11,168304.0
Civilian Labor Force Level,2024,10,168428.0
Civilian Labor Force Level,2024,9,168703.0
Civilian Labor Force Level,2024,8,168496.0
Civilian Labor Force Level,2024,7,168315.0
Civilian Labor Force Level,2024,6,168005.0
Civilian Labor Force Level,2024,5,167799.0
Civilian Labor Force Level,2024,4,167988.0
Civilian Labor Force Level,2024,3,167922.0
Civilian Labor Force Level,2024,2,167475.0
Civilian Labor Force Level,2024,1,167339.0
Civilian Employment Level,2024,12,161661.0
Civilian Employment Level,2024,11,161183.0
Civilian Employment Level,2024,10,161456.0
Civilian Employment Level,2024,9,161802.0
Civilian Employment Level,2024,8,161425.0
Civilian Employment Level,2024,7,161219.0
Civilian Employment Level,2024,6,161155.0
Civilian Employment Level,2024,5,161164.0
Civilian Employment Level,2024,4,161495.0
Civilian Employment Level,2024,3,161425.0
Civilian Employment Level,2024,2,161013.0
Civilian Employment Level,2024,1,161190.0
Civilian Unemployment Level,2024,12,6886.0
Civilian Unemployment Level,2024,11,7121.0
Civilian Unemployment Level,2024,10,6972.0
Civilian Unemployment Level,2024,9,6901.0
Civilian Unemployment Level,2024,8,7071.0
Civilian Unemployment Level,2024,7,7097.0
Civilian Unemployment Level,2024,6,6849.0
Civilian Unemployment Level,2024,5,6635.0
Civilian Unemployment Level,2024,3,6497.0
Civilian Unemployment Level,2024,2,6462.0
Civilian Unemployment Level,2024,1,6149.0
Average Weekly Hours - Total Private,2024,12,34.3
Average Weekly Hours - Total Private,2024,10,34.3
Average Hourly Earnings - Total Private,2024,12,33.7
Unemployment Rate (16+ years),2025,1,4.0
Total Nonfarm Employment,2025,1,159069.0
Total Nonfarm Employment,2024,12,158926.0
Total Nonfarm Employment,2024,11,158619.0
Total Nonfarm Employment,2024,10,158358.0
Total Nonfarm Employment,2024,9,158314.0
Total Nonfarm Employment,2024,8,158074.0
Total Nonfarm Employment,2024,7,158003.0
Total Nonfarm Employment,2024,6,157915.0
Total Nonfarm Employment,2024,5,157828.0
Total Nonfarm Employment,2024,4,157635.0
Total Nonfarm Employment,2024,3,157517.0
Total Nonfarm Employment,2024,2,157271.0
Total Nonfarm Employment,2024,1,157049.0
Civilian Labor Force Level,2025,1,170744.0
Civilian Employment Level,2025,1,163895.0
Civilian Unemployment Level,2025,1,6849.0
Average Weekly Hours - Total Private,2025,1,34.1
Average Weekly Hours - Total Private,2024,12,34.2
Average Weekly Hours - Total Private,2024,9,34.2
Average Weekly Hours - Total Private,2024,4,34.2
Average Hourly Earnings - Total Private,2025,1,33.5
Average Hourly Earnings - Total Private,2024,11,33.6
Average Hourly Earnings - Total Private,2024,1,33.5
Unemployment Rate (16+ years),2025,2,4.1
Total Nonfarm Employment,2025,2,159218.0
Total Nonfarm Employment,2025,1,159067.0
Total Nonfarm Employment,2024,12,158942.0
Civilian Labor Force Level,2025,2,170359.0
Civilian Employment Level,2025,2,163307.0
Civilian Unemployment Level,2025,2,7052.0
Average Weekly Hours - Total Private,2025,2,34.1
Average Hourly Earnings - Total Private,2025,2,33.6
Average Hourly Earnings - Total Private,2025,1,33.6
Unemployment Rate (16+ years),2025,3,4.2
Total Nonfarm Employment,2025,3,159398.0
Total Nonfarm Employment,2025,2,159170.0
Total Nonfarm Employment,2025,1,159053.0
Civilian Labor Force Level,2025,3,170591.0
Civilian Employment Level,2025,3,163508.0
Civilian Unemployment Level,2025,3,7083.0
Average Weekly Hours - Total Private,2025,3,34.2
Average Weekly Hours - Total Private,2025,2,34.2
Average Hourly Earnings - Total Private,2025,3,33.8
Unemployment Rate (16+ years),2025,4,4.2
Total Nonfarm Employment,2025,4,159517.0
Total Nonfarm Employment,2025,3,159340.0
Total Nonfarm Employment,2025,2,159155.0
Civilian Labor Force Level,2025,4,171109.0
Civilian Employment Level,2025,4,163944.0
Civilian Unemployment Level,2025,4,7165.0
Average Weekly Hours - Total Private,2025,4,34.3
Average Weekly Hours - Total Private,2025,3,34.3
Average Hourly Earnings - Total Private,2025,4,33.8
Unemployment Rate (16+ years),2025,5,4.2
Total Nonfarm Employment,2025,5,159561.0
Total Nonfarm Employment,2025,4,159422.0
Total Nonfarm Employment,2025,3,159275.0
Civilian Labor Force Level,2025,5,170510.0
Civilian Labor Force Level,2025,4,171135.0
Civilian Employment Level,2025,5,163273.0
Civilian Employment Level,2025,4,163969.0
Civilian Unemployment Level,2025,5,7237.0
Civilian Unemployment Level,2025,4,7166.0
Average Weekly Hours - Total Private,2025,5,34.3
Average Hourly Earnings - Total Private,2025,5,33.7
Average Hourly Earnings - Total Private,2025,4,33.7
Unemployment Rate (16+ years),2025,6,4.1
Total Nonfarm Employment,2025,6,159724.0
Total Nonfarm Employment,2025,5,159577.0
Total Nonfarm Employment,2025,4,159433.0
Civilian Labor Force Level,2025,6,170380.0
Civilian Employment Level,2025,6,163366.0
Civilian Unemployment Level,2025,6,7015.0
Average Weekly Hours - Total Private,2025,6,34.2
Average Hourly Earnings - Total Private,2025,6,33.5
